event_id,event_date,title,location_description,region,landslide_category,trigger,size,fatality_count,latitude,longitude,source_name
1055,2009-07-22,"Kerseong, West Bengal","Kerseong, West Bengal",Bengal,landslide,downpour,medium,0,26.8826,88.2788,One India
1054,2009-07-22,"Gayabari,  West Bengal","Gayabari,  West Bengal",Bengal,landslide,downpour,medium,0,26.8572,88.3143,One India
1061,2009-01-07,Bridge destroyed at 4th Mile,"4th Mile, Lower Mangshila in North Sikkim",,landslide,downpour,medium,0,27.478,88.527,Telegraph India
2164,2010-07-29,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur","Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",Manipur,landslide,downpour,medium,0,25.30986,94.48215,E-Pao
3821,2011-07-21,"Kumaon, Uttarakhand","Kumaon, Uttarakhand",Uttarakhand,landslide,rain,medium,1,29.7334,79.6367,ibnlive.in
37,2007-03-19,Doba,Doba,Kashmir,landslide,rain,medium,2,33.8778,74.3333,Tribune India.com
3669,2011-06-29,"National Highway leading to Gangotri, from Dehradun","National Highway leading to Gangotri, from Dehradun",Uttarakhand,landslide,downpour,medium,0,30.7666,78.7963,IBN
3750,2011-09-07,Gangotri,Gangotri,Uttarakhand,landslide,downpour,medium,0,30.7652,78.5925,ibnlive.in
3751,2011-09-07,Kedarnath,Kedarnath,Uttarakhand,landslide,downpour,medium,0,30.7331,79.0685,ibnlive.in
3752,2011-09-07,Yamunotri,Yamunotri,Uttarakhand,landslide,downpour,medium,0,31.0188,78.4129,ibnlive.in
3819,2011-07-21,"Chamoli , Uttarakhand","Chamoli , Uttarakhand",Uttarakhand,landslide,rain,medium,1,30.4043,79.3318,ibnlive.in
4565,2012-09-18,"Jatog and Kaithlighat railway stations, Kaithleeghat, Himachal Pradesh","Jatog and Kaithlighat railway stations, Kaithleeghat, Himachal Pradesh",Himachal Pradesh,landslide,downpour,medium,0,31.0226,77.1029,Hindustan Times
4569,2012-09-19,"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)","North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",,landslide,downpour,large,20,27.8385,88.556,Hindustan Times
4571,2012-09-19,"Chungthang and Pegong. Houses, between Rangma and Chungthang","Chungthang and Pegong. Houses, between Rangma and Chungthang",,landslide,downpour,large,0,27.6558,88.605,Hindustan Times
4929,2013-06-16,"Rishikesh-Joshimath-Mana Road, Uttarakhand","Rishikesh-Joshimath-Mana Road, Uttarakhand",Uttarakhand,landslide,rain,medium,0,30.4954,78.3881,The Indian EXPRESS
